material,bandgap
LiGd2Ru,0.05739999999999945
LiDy2Ru,0
LiHo2Ru,0
LiEr2Ru,0.0
LiTm2Ru,0
LiLu2Ru,0.0
LiTaRu2,0
LiRu2W,0.0
LiAc2Ru,0.0
LiPaRu2,0
LiCd2Rh,0.0
LiIn2Rh,0.0
Li2InRh,0.0
LiSn5Rh3,0.0
LiSn4Rh,0.0
LiSnRh2,0
LiSbRh2,0.010099999999999554
Pm2LiRh,0.0
LiHo2Rh,0.0
LiTm2Rh,0.0
Yb2LiRh,0.11450000000000005
LiLu2Rh,0.061799999999999855
LiHfRh2,0.0
LiTaRh2,0.0
LiTl2Rh,0.17959999999999976
LiRh2Pb,0
LiBiRh2,0
Li2AgPd,0
LiCd2Pd,0
Li2CdPd,0.07609999999999983
LiCdPd2,0.0
Li2InPd,0.0
LiIn2Pd,0.0
LiInPd2,0.0
LiSnPd2,0.0
Li2SbPd,0.0
LiSbPd2,0.10909999999999975
LiTmPd2,0.06850000000000023
LiLuPd2,0.0
LiHfPd2,0
LiPdAu2,0
Li2PdAu,0.007600000000000051
LiHg2Pd,0
Li2HgPd,0.0
LiHgPd2,0
LiTlPd2,0.0
Li2TlPd,0
Li2PdPb,0.0
LiPd2Pb,0.0
LiBiPd2,0.000300000000000189
LiCd2Ag,0.07879999999999976
LiCdAg2,0.10880000000000001
LiInAg2,0.0
Li2InAg,0.0
Li2AgSn,0.0
LiAg2Sn,0.0
Li2AgSb,0.14290000000000003
Li2AgAu,0
Li2AgHg,0
Li2AgPb,0.0
Li2CdSn,0.0
LiCd2Pt,0
LiCdAu2,0
Li2CdAu,0.0
LiCd2Au,0.0
Li2CdHg,0.0
Li2CdPb,0.0
Li2InSn,0.0
LiInTe2,1.3847
LiInI4,2.2465
Li2LaIn,0.10249999999999915
Li2PrIn,0.0
Li2NdIn,0.0
PmLi2In,0.0
Li2SmIn,0.0
Li2GdIn,0.006900000000000794
LiDyIn2,0.0
Li2DyIn,0.0
LiHoIn2,0.0
Li2HoIn,0.031799999999999606
Li2ErIn,0.0
LiErIn2,0
LiTmIn2,0.0
Li2TmIn,0.01990000000000025
LiIn2Ir,0.0
Li2InIr,0.0
Li2InPt,0.0
LiInPt2,0.0
LiIn2Pt,0.0
LiInAu2,0.0
Li2InAu,0.0
Li2AcIn,0.0
